품목일련번호,품목명,업소일련번호,업소명,성상,큰제품이미지,표시앞,표시뒤,의약품제형,색상앞,색상뒤,분할선앞,분할선뒤,크기장축,크기단축,크기두께,이미지생성일자(약학정보원),분류번호,분류명,전문일반구분,품목허가일자,제형코드명,표기내용앞,표기내용뒤,표기이미지앞,표기이미지뒤,표기코드앞,표기코드뒤,변경일자,사업자번호,품목영문명,보험코드,표준코드
201203127,펜잘레이디정,19650001,(주)종근당,"흰색-분홍색의 두층으로 이루어진 원형 정제이고, 흰색층에 분홍색 반점이 있을 수 있다.",https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1OdaTZpEPi_,L,PZL,원형,분홍,하양,,,10.3,10.3,3.1,20120627,1140.0,해열.진통.소염제,일반의약품,20120424,다층정,,,,,,,,3128560679,Penzal Lady Tab.,,"8806433062606,8806433062613"
197700120,부루펜정200밀리그램(이부프로펜),19550010,삼일제약(주),흰색의 장방형 필름코팅 정제,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1Mxwka5v45V,마크,BR2,장방형,하양,,,,14.0,7.2,3.7,20060131,1140.0,해열.진통.소염제,일반의약품,19770121,필름코팅정,"siL,5iL",,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147938644048800047,,r0080,,20241105.0,1348500765,BRUFEN Tab. 200mg,643900470,"8806439004709,8806439004716,8806439004723,8806439004730,8806439004747,8806439004754"
198300343,부루펜정400밀리그램(이부프로펜),19550010,삼일제약(주),흰색의 장방형 필름코팅정제,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1Mxwka5v465,마크,BR4,장방형,하양,,,,17.1,9.2,5.0,20060613,1140.0,해열.진통.소염제,일반의약품,19830201,필름코팅정,"siL,5iL",,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147938644048800047,,r0080,,20241105.0,1348500765,BRUFEN Tab. 400mg,643900480,"8806439004808,8806439004815,8806439004822,8806439004839,8806439004846,8806439004853,8806439004860"
198300344,부루펜정600밀리그람(이부프로펜),19550010,삼일제약(주),백색의 장방형 필름코팅정제,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1Mxwka5v46h,마크,BR6,장방형,하양,,,,21.2,10.2,5.8,20060309,1140.0,해열.진통.소염제,전문의약품,19830201,필름코팅정,"siL,5iL",,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147938644048800047,,r0080,,,1348500765,Brufen Tab. 600mg,,"8806439004907,8806439004914,8806439004921,8806439004938"
197300096,삼일부루펜정(이부프로펜),19550010,삼일제약(주),백색의 원형 필름코팅정제,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1Mxwka5v44v,마크,BR,원형,하양,,,,7.6,7.6,4.1,20060309,1140.0,해열.진통.소염제,일반의약품,19730327,필름코팅정,"siL,5iL",,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147938644048800047,,r0080,,,1348500765,Samil Brufen Tab. 100mg,,"8806439005300,8806439005317,8806439005324"
200101598,소아용게보린-아이츄정(아세트아미노펜제피세립)(수출용),19560011,삼진제약(주),씹어먹는 분홍색의 삼각원형 정제,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1Pc8NyfFGEn,SJ,분할선,삼각형,분홍,,,-,8.6,8.5,4.1,20060327,1140.0,해열.진통.소염제,일반의약품,20011018,추어블정(저작정),,,,,,,,1248531621,Gewerin- i Chew. Tab. for Children,,"8806478013700,8806478013717,8806478013724"
200810700,펜잘큐정,19650001,(주)종근당,미황색(연노랑)의 장방형 정제,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1P3diGKSCsx,PenzalQ,분할선,장방형,노랑,,,-,17.0,7.0,6.5,20081117,1140.0,해열.진통.소염제,일반의약품,20081029,나정,,,,,,,20251110.0,3128560679,PENZAL-Q TAB.,,"8806433050207,8806433050214"
200200172,펜잘에스정,19650001,(주)종근당,담청색의 타원형 정제,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/151732680805000060,Penzal·S,,장방형,파랑,,,,18.0,8.0,5.5,20041222,1140.0,해열.진통.소염제,일반의약품,20021028,나정,,,,,,,,3128560679,Penzal-S Tab.,,8806433039509
200200168,펜잘나이트정,19650001,(주)종근당,연분홍색 장방형 코팅정,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1OgTUuGDjek,PZL-N,분할선,장방형,분홍,,,-,17,6.7,7,20120406,1140.0,해열.진통.소염제,일반의약품,20021010,필름코팅정,,,,,,,,3128560679,Penzal Night Tab.,,"8806433039400,8806433039417"
201301591,이지엔6이브연질캡슐,19540008,(주)대웅제약,무색 내지 연한 청색의 투명한 내용물을 함유한 청색의 투명한 타원형 연질캡슐,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/148717322719300048,EVE,,타원형,"파랑, 투명",,,,13.8,9.2,9.08,20150114,1140.0,해열.진통.소염제,일반의약품,20130117,"연질캡슐제, 액상",,,,,,,20251010.0,1248601143,Easy End Six Eve Soft Cap,,"8806416055502,8806416055519,8806416055526"
